"LSOA11CD","July17_2022","July18_2022","July19_2022","July20_2022","July21_2022","July22_2022"
"E01000109",22.68,27.51,28.49,21.83,19.96,18.54
"E01000110",22.68,27.51,28.49,21.83,19.96,18.54
"E01000111",22.68,27.51,28.49,21.83,19.96,18.54
"E01000112",22.68,27.51,28.49,21.83,19.96,18.54
"E01000113",22.68,27.51,28.49,21.83,19.96,18.54
"E01000114",22.68,27.51,28.49,21.83,19.96,18.54
"E01000115",22.68,27.51,28.49,21.83,19.96,18.54
"E01000116",22.68,27.51,28.49,21.83,19.96,18.54
"E01000117",22.68,27.51,28.49,21.83,19.96,18.54
"E01000118",22.68,27.51,28.49,21.83,19.96,18.54
"E01000119",22.68,27.51,28.49,21.83,19.96,18.54
"E01000120",22.68,27.51,28.49,21.83,19.96,18.54
"E01000121",22.68,27.51,28.49,21.83,19.96,18.54
"E01000122",22.68,27.51,28.49,21.83,19.96,18.54
"E01000123",22.68,27.51,28.49,21.83,19.96,18.54
"E01000124",22.68,27.51,28.49,21.83,19.96,18.54
"E01000125",22.26,26.79,27.3,20.93,19.46,18.5
"E01000126",22.26,26.79,27.3,20.93,19.46,18.5
"E01000127",22.26,26.79,27.3,20.93,19.46,18.5
"E01000128",22.26,26.79,27.3,20.93,19.46,18.5
"E01000129",22.26,26.79,27.3,20.93,19.46,18.5
"E01000130",22.26,26.79,27.3,20.93,19.46,18.5
"E01000131",22.26,26.79,27.3,20.93,19.46,18.5
"E01000132",22.26,26.79,27.3,20.93,19.46,18.5
"E01000133",22.26,26.79,27.3,20.93,19.46,18.5
"E01000134",22.26,26.79,27.3,20.93,19.46,18.5
"E01000135",22.38,26.99,27.63,21.18,19.6,18.51
"E01000136",22.68,27.51,28.49,21.83,19.96,18.54
"E01000137",22.39,27.01,27.68,21.22,19.62,18.51
"E01000138",22.26,26.79,27.3,20.93,19.46,18.5
"E01000139",22.35,26.95,27.56,21.13,19.57,18.51
"E01000140",22.68,27.51,28.49,21.83,19.96,18.54
"E01000141",22.26,26.79,27.3,20.93,19.46,18.5
"E01000142",22.26,26.79,27.3,20.93,19.46,18.5
"E01000143",22.26,26.79,27.3,20.93,19.46,18.5
"E01000144",22.54,27.26,28.08,21.52,19.79,18.53
"E01000145",22.26,26.79,27.3,20.93,19.46,18.5
"E01000146",22.61,27.38,28.29,21.68,19.88,18.53
"E01000147",22.26,26.79,27.3,20.93,19.46,18.5
"E01000148",22.26,26.79,27.3,20.93,19.46,18.5
"E01000150",22.26,26.79,27.3,20.93,19.46,18.5
"E01000151",22.26,26.79,27.3,20.93,19.46,18.5
"E01000152",22.26,26.79,27.3,20.93,19.46,18.5
"E01000153",22.26,26.79,27.3,20.93,19.46,18.5
"E01000154",22.26,26.79,27.3,20.93,19.46,18.5
"E01000155",22.26,26.79,27.3,20.93,19.46,18.5
"E01000156",22.68,27.51,28.49,21.83,19.96,18.54
"E01000157",22.68,27.51,28.49,21.83,19.96,18.54
"E01000158",22.68,27.51,28.49,21.83,19.96,18.54
"E01000159",22.68,27.51,28.49,21.83,19.96,18.54
"E01000160",22.68,27.51,28.49,21.83,19.96,18.54
"E01000161",22.68,27.51,28.49,21.83,19.96,18.54
"E01000162",22.68,27.51,28.49,21.83,19.96,18.54
"E01000163",22.68,27.51,28.49,21.83,19.96,18.54
"E01000164",22.68,27.51,28.49,21.83,19.96,18.54
"E01000165",22.68,27.51,28.49,21.83,19.96,18.54
"E01000166",22.68,27.51,28.49,21.83,19.96,18.54
"E01000167",22.68,27.51,28.49,21.83,19.96,18.54
"E01000168",22.68,27.51,28.49,21.83,19.96,18.54
"E01000169",22.68,27.51,28.49,21.83,19.96,18.54
"E01000170",22.68,27.51,28.49,21.83,19.96,18.54
